Title,#,Catalog Grade,CGC Grade,Catalog Notes
World's Best (Finest),2,NM,,water stn BC 2x1
Wow,1,NM,,dust band length top fc; else M
Wow,2,NM,,po fc
Zip,4,NM/M,,
Zip,6,NM/M,,
Zip,7,NM/M,,
Zip,11,NM,,
Zip,12,NM,,
Zip,13,NM,,
Zip,14,VFN,,
Zip,16,NM,,
Zip,17,NM/M,,
Zip,18,Nov-36,,
Feature Comics,25,G,,ADDENDUM Out of Alphabetical Sequence; dark stn 1x2 fc
Feature Comics,28,NM/M,,
Feature Comics,29,NM,,lite warp at sp; Hartlane
Feature Comics,30,NM,,
Feature Comics,31,VFN/NM,,
Feature Comics,32,NM/M,,
Big Shot,1,VG,,
Big Shot,2,,,2x2.25 dark stn btm fc; speckling 1.5x3 btm
Big Shot,3,FN,,lite dust band embedded 1/2 fc
Big Shot,4,NM/M,,
Big Shot,14,NM/M,,
Big Shot,15,NM,,
Big Shot,16,NM,,
Big Shot,17,VG/FN,,speckled band; 1/2 top corner
Red Raven,1,FN,,2-4 dust band RMFC; top fc 1
Flash Gordon Str-Adv Magazine,,NM/M,,color illustrations text cover
Target,7,VFN,,roll warp; else NM
